puchchae,cat,NN,neuter
mara,tree,NN,neuter
erukulu,bulls,NNS,neuter
anulu,boys,NNS,masculine
rama,rama,NNP,masculine
sita,sita,NNP,feminine
imbe,he,PRP,masculine
molu,she,PRP,feminine
ayena,his,PRP$,masculine
alena,her,PRP$,feminine
malla,big,JJ,NULL
mamalla,bigger,JJR,NULL
bari mamalla,biggest,JJS,NULL
mata,all,PDT,NULL
ardha,half,PDT,NULL
mitth,up,IN,NULL
ulaye,inside,IN,NULL
peedaye,outside,IN,NULL
tirth,down,IN,NULL
ederu,front,IN,NULL
peerove,back,IN,NULL
undu,this,DT,NULL
au,that,DT,NULL
onji,one,CD,NULL
radd,two,CD,NULL
naal,four,CD,NULL
aik,for,CC,NULL
portad,lately,RB,NULL
kuda,again,RB,NULL
dinola,everyday,RB,NULL
