puchchae au mara mitth,ಪುಚ್ಚೆ ಅವು ಮರ ಮಿತ್ತ್,the cat is on that tree.
alpa naal erukulu,ಅಲ್ಪ ನಾಲ್ ಎರುಕುಲು,there are four bulls.
enna amme boka enna megye barimamalla taray dettond,ಎನ್ನ ಅಮ್ಮೆ ಬೊಕ ಎನ್ನ ಮೆಗ್ಯೆ ಬರಿಮಾಮಲ್ಲ ತಾರಾಯ್ ದೆತ್ತೊಂದ್,my father and my younger brother have bought the biggest coconut.
enna kutuma enna magalu barimamalla,ಎನ್ನ ಕುಟುಮ ಎನ್ನ ಮಗಲು ಬರಿಮಾಮಲ್ಲ,in my family my sons are the biggest
yan nurgae boka ari beytini ini,ಯಂ ನುರ್ಗೆ ಬೊಕ ಅರಿ ಬೆಯ್ತಿನಿ ಇನಿ,i cooked drumsticks and rice today.
edde kandae,ಎಡ್ಡೆ ಕಾಂಡೆ,good morning!
eddae ratre appe,ಎಡ್ಡೆ ರಾತ್ರೆ ಅಪ್ಪೆ,good night mother!
imbe yank kempu po korini,ಇಂಬೇ ಯಂಕ್ ಕೆಂಪು ಪೊ ಕೊರಿನಿ,he gave me red flower.
au yan tirth bareyini,ಅವು ಯಂ ತಿರ್ತ್ ಬರೆಯಿನಿ,i wrote that down.
ardha manga gobbud boka battini,ಅರ್ಧ ಮಂಗಾ ಗೊಬ್ಬುದ್ ಬೊಕ ಬತ್ತಿನಿ,half of the donkey have played and came.
manga mara mitth,ಮಂಗಾ ಮರ ಮಿತ್ತ್,the monkey is on the tree.
kodae anae pijin mitth kaar dini,ಕೋಡೆ ಆನೆ ಪಿಜಿನ್ ಮಿತ್ತ್ ಕಾರ್ ದಿನಿ,yesterday the elephant stepped on the ant.
